"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063035","2.2.2.2.1.1","18.5","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063143","2.2.2.6.1.1","84.7","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063170","2.2.2.7.1.1","36.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063044","2.2.3.2.1.1","18.4","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063152","2.2.3.6.1.1","82.9","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063179","2.2.3.7.1.1","30.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063036","2.3.2.2.1.1","14.9","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063144","2.3.2.6.1.1","76.4","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063171","2.3.2.7.1.1","31.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063045","2.3.3.2.1.1","16.2","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063153","2.3.3.6.1.1","78.6","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063180","2.3.3.7.1.1","26.2","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063039","2.6.2.2.1.1","3.6","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063147","2.6.2.6.1.1","8.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063174","2.6.2.7.1.1","5.0","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063048","2.6.3.2.1.1","2.2","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063156","2.6.3.6.1.1","4.3","","","","1"
"2024-03","Newfoundland and Labrador","2016A000210","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063183","2.6.3.7.1.1","4.1","","","","1"
"2024-03","Prince Edward Island","2016A000211","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063223","3.1.2.2.1.1","13.2","","","","1"
"2024-03","Prince Edward Island","2016A000211","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063331","3.1.2.6.1.1","33.6","","","","1"
"2024-03","Prince Edward Island","2016A000211","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063358","3.1.2.7.1.1","27.0","","","","1"
"2024-03","Prince Edward Island","2016A000211","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063232","3.1.3.2.1.1","11.5","","","","1"
"2024-03","Prince Edward Island","2016A000211","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063340","3.1.3.6.1.1","33.3","","","","1"
"2024-03","Prince Edward Island","2016A000211","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063367","3.1.3.7.1.1","30.3","","","","1"
"2024-03","Prince Edward Island","2016A000211","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063224","3.2.2.2.1.1","9.9","","","","1"
"2024-03","Prince Edward Island","2016A000211","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063332","3.2.2.6.1.1","31.0","","","","1"
"2024-03","Prince Edward Island","2016A000211","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063359","3.2.2.7.1.1","12.3","","","","1"
"2024-03","Prince Edward Island","2016A000211","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063233","3.2.3.2.1.1","6.6","","","","1"
"2024-03","Prince Edward Island","2016A000211","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063341","3.2.3.6.1.1","29.2","","","","1"
"2024-03","Prince Edward Island","2016A000211","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063368","3.2.3.7.1.1","10.2","","","","1"
"2024-03","Prince Edward Island","2016A000211","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063225","3.3.2.2.1.1","8.8","","","","1"
"2024-03","Prince Edward Island","2016A000211","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063333","3.3.2.6.1.1","28.6","","","","1"
"2024-03","Prince Edward Island","2016A000211","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063360","3.3.2.7.1.1","11.2","","","","1"
"2024-03","Prince Edward Island","2016A000211","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063234","3.3.3.2.1.1","6.1","","","","1"
"2024-03","Prince Edward Island","2016A000211","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063342","3.3.3.6.1.1","27.9","","","","1"
"2024-03","Prince Edward Island","2016A000211","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063369","3.3.3.7.1.1","9.3","","","","1"
"2024-03","Prince Edward Island","2016A000211","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063228","3.6.2.2.1.1","1.2","","","","1"
"2024-03","Prince Edward Island","2016A000211","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063336","3.6.2.6.1.1","2.3","","","","1"
"2024-03","Prince Edward Island","2016A000211","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063363","3.6.2.7.1.1","1.1","","","","1"
"2024-03","Prince Edward Island","2016A000211","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063237","3.6.3.2.1.1","0.5","","","","1"
